Invoice ID,Branch,CustomerID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Longitude,Latitude,day_of_week,month,week,hour
750-67-8428,A,C1888,Yangon,Member,Female,Health and beauty,74.69,10,37.345,746.9,2019-02-21,13:08:00,Ewallet,711.3333333,4.761904762,35.56666667,9.1,96.1735,16.8409,Thursday,February,8,13
226-31-3081,C,C1475,Naypyitaw,Normal,Female,Health and beauty,15.28,6,4.584,91.68,2019-05-27,10:29:00,Cash,76.4,4.761904762,15.28,10.0,96.0785,19.7633,Monday,May,22,10
631-41-3108,A,C1746,Yangon,Normal,Male,Health and beauty,46.33,7,16.2155,324.31,2019-12-27,13:23:00,Credit card,308.8666666666667,4.761904762,15.443333333333333,7.4,96.1735,16.8409,Friday,December,52,13
123-19-1176,A,C1896,Yangon,Member,Male,Health and beauty,58.22,11,32.021,640.42,2019-11-15,20:33:00,Ewallet,465.76,4.761904762,174.66,8.4,96.1735,16.8409,Friday,November,46,20
373-73-7910,A,C1790,Yangon,Normal,Male,Health and beauty,86.31,7,30.2085,604.17,2019-03-31,10:37:00,Ewallet,575.4,4.761904762,28.77,7.455,96.1735,16.8409,Sunday,March,13,10
699-14-3026,C,C1423,Naypyitaw,Normal,Male,Health and beauty,85.39,8,34.156,683.12,2019-01-06,18:30:00,Ewallet,597.73,4.761904762,85.39,7.455,96.0785,19.7633,Sunday,January,1,18
355-53-5943,A,C1723,Yangon,Normal,Female,Health and beauty,68.84,6,20.652,413.04,2019-12-15,14:36:00,Ewallet,393.37142857142857,4.761904762,19.668571428571433,7.455,96.1735,16.8409,Sunday,December,50,14
315-22-5665,C,C1471,Naypyitaw,Normal,Female,Health and beauty,73.56,12,44.136,882.72,2019-06-14,11:38:00,Ewallet,735.6,4.761904762,147.12,7.455,96.0785,19.7633,Friday,June,24,11
665-32-9167,A,C1707,Yangon,Normal,Female,Health and beauty,36.26,2,3.626,72.52,2019-11-25,17:15:00,Credit card,69.06666666666666,4.761904762,3.453333333333333,7.455,96.1735,16.8409,Monday,November,48,17
692-92-5582,B,C1277,Mandalay,Normal,Female,Health and beauty,54.84,4,10.968,219.36,2019-04-10,13:27:00,Credit card,164.52,4.761904762,54.84,7.455,96.0891,21.9588,Wednesday,April,15,13
351-62-0822,B,C1300,Mandalay,Normal,Female,Health and beauty,14.48,6,4.344,86.88,2019-07-23,18:07:00,Ewallet,57.92,4.761904762,28.96,7.455,96.0891,21.9588,Tuesday,July,30,18
